time,V1,V2,I1,I2
377,12.29,0.00,0.103,0.044
378,12.19,0.00,0.073,0.038
379,12.22,0.00,0.102,0.049
380,12.19,0.00,0.094,0.056
381,12.24,0.00,0.110,0.047
382,12.24,0.00,0.107,0.025
383,12.22,0.00,0.105,0.045
384,12.27,0.00,0.101,0.047
385,12.22,0.00,0.106,0.058
386,12.24,0.00,0.091,0.038
387,12.24,0.00,0.090,0.038
388,12.22,0.00,0.114,0.044
389,12.22,0.00,0.113,0.041
390,12.24,0.00,0.122,0.034
391,12.22,0.00,0.093,0.043
392,12.24,0.00,0.101,0.031
393,12.24,0.00,0.080,0.029
394,12.22,0.00,0.094,0.032
395,12.22,0.00,0.075,0.037
396,12.22,0.00,0.117,0.043
397,12.24,0.00,0.111,0.049
398,12.24,0.00,0.105,0.032
399,12.24,0.00,0.128,0.041
400,12.24,0.00,0.113,0.038
401,12.27,0.00,0.106,0.038
402,12.19,0.00,0.112,0.023
403,12.22,0.00,0.114,0.036
404,12.24,0.00,0.111,0.047
405,12.29,0.00,0.100,0.036
406,12.22,0.00,0.090,0.029
407,12.24,0.00,0.091,0.029
408,12.24,0.00,0.117,0.047
409,12.24,0.00,0.114,0.041
410,12.27,0.00,0.114,0.027
411,12.24,0.00,0.103,0.048
412,12.22,0.00,0.103,0.047
413,12.27,0.00,0.133,0.042
414,12.27,0.00,0.110,0.047
415,12.27,0.00,0.106,0.052
416,12.22,0.00,0.116,0.042
417,12.24,0.00,0.109,0.052
418,12.24,0.00,0.096,0.035
419,12.27,0.00,0.111,0.045
420,12.24,0.00,0.119,0.049
421,12.22,0.00,0.110,0.040
422,12.27,0.00,0.116,0.043
423,12.24,0.00,0.099,0.040
424,12.24,0.00,0.094,0.025
425,12.22,0.00,0.105,0.018
426,12.24,0.00,0.100,0.035
427,12.27,0.00,0.097,0.046
428,12.24,0.00,0.103,0.035
429,12.24,0.00,0.104,0.046
430,12.19,0.00,0.101,0.037
431,12.24,0.00,0.098,0.023
432,12.22,0.00,0.114,0.035
433,12.22,0.00,0.092,0.049
434,12.24,0.00,0.101,0.036
435,12.27,0.00,0.119,0.047
436,12.24,0.00,0.107,0.031
437,12.22,0.00,0.096,0.047
438,12.24,0.00,0.102,0.056
439,12.27,0.00,0.096,0.041
440,12.22,0.00,0.103,0.045
441,12.22,0.00,0.110,0.054
442,12.24,0.00,0.118,0.043
443,12.24,0.00,0.110,0.046
444,12.24,0.00,0.096,0.024
445,12.22,0.00,0.110,0.038
446,12.29,0.00,0.107,0.060
447,12.22,0.00,0.105,0.047
448,12.24,0.00,0.097,0.038
449,12.22,0.00,0.108,0.058
450,12.24,0.00,0.090,0.064
451,12.19,0.00,0.105,0.029
452,12.27,0.00,0.099,0.051
453,12.29,0.00,0.105,0.046
454,12.27,0.00,0.117,0.060
455,12.27,0.00,0.094,0.044
456,12.24,0.00,0.093,0.055
457,12.29,0.00,0.098,0.049
458,12.22,0.00,0.109,0.039
459,12.24,0.00,0.094,0.047
460,12.22,0.00,0.103,0.044
461,12.22,0.00,0.107,0.044
462,12.27,0.00,0.107,0.051
463,12.29,0.00,0.123,0.037
464,12.27,0.00,0.125,0.064
465,12.24,0.00,0.115,0.044
466,12.24,0.00,0.111,0.040
467,12.24,0.00,0.092,0.031
468,12.22,0.00,0.087,0.038
469,12.24,0.00,0.121,0.044
470,12.27,0.00,0.119,0.049
471,12.22,0.00,0.117,0.052
472,12.24,0.00,0.113,0.044
473,12.27,0.00,0.093,0.045
474,12.24,0.00,0.119,0.059
475,12.27,0.25,0.098,0.034
476,12.27,0.00,0.087,0.049
477,12.24,0.00,0.099,0.036
478,12.24,0.00,0.082,0.043
479,12.24,0.00,0.110,0.042
480,12.24,0.00,0.105,0.038
481,12.22,0.00,0.102,0.051
482,12.22,0.00,0.127,0.024
483,12.22,0.00,0.090,0.015
484,12.27,0.00,0.104,0.046
485,12.27,0.00,0.108,0.047
486,12.24,0.00,0.107,0.035
487,12.24,0.00,0.109,0.032
488,12.27,0.00,0.105,0.047
489,12.24,0.00,0.088,0.022
490,12.19,0.00,0.099,0.033
491,12.27,0.00,0.097,0.046
492,12.19,0.00,0.092,0.030
493,12.24,0.00,0.092,0.040
494,12.29,0.00,0.110,0.038
495,12.24,0.00,0.095,0.034
496,12.22,0.00,0.098,0.043
497,12.24,0.00,0.101,0.058
498,12.24,0.00,0.093,0.035
499,12.19,0.00,0.099,0.027
500,12.22,0.00,0.096,0.041
501,12.27,0.00,0.095,0.036
502,12.22,0.00,0.122,0.023
503,12.22,0.00,0.103,0.041
504,12.27,0.00,0.099,0.019
505,12.27,0.00,0.102,0.044
506,12.22,0.00,0.091,0.025
507,12.27,0.00,0.115,0.051
508,12.29,0.00,0.098,0.052
509,12.22,0.00,0.083,0.055
510,6.16,0.00,0.012,0.029
511,0.00,0.00,0.012,0.034
512,0.10,0.00,0.030,0.036
513,0.00,0.00,0.022,0.050
514,0.00,0.00,0.031,0.056
515,0.00,0.00,0.025,0.036
516,0.00,0.00,0.013,0.041
517,0.00,0.00,0.025,0.049
518,0.00,0.00,0.015,0.063
519,0.00,0.00,0.039,0.057
520,0.00,0.00,0.034,0.057
521,0.00,0.00,0.044,0.059
522,0.00,0.00,0.048,0.035
523,0.00,0.00,0.029,0.047
524,0.00,0.00,0.007,0.044
525,0.00,0.00,0.013,0.047
526,0.00,0.00,0.021,0.044
527,0.00,0.00,0.006,0.044
528,0.00,0.00,0.010,0.022
529,0.00,0.00,0.024,0.032
530,0.00,0.00,0.036,0.054
531,0.00,0.00,0.019,0.040
532,0.00,0.00,0.009,0.042
533,0.00,0.00,0.020,0.066
534,0.00,0.00,0.016,0.028
535,0.00,0.00,0.025,0.041
536,0.00,0.00,0.008,0.031
537,0.00,0.00,0.002,0.047
538,0.00,0.00,0.014,0.017
539,0.00,0.00,0.009,0.036
540,0.00,0.00,0.014,0.019
541,0.00,0.00,0.037,0.053
542,0.00,0.00,0.015,0.039
543,0.00,0.00,0.012,0.027
544,0.00,0.00,0.037,0.032
545,0.00,0.00,0.016,0.025
546,0.00,0.00,0.016,0.034
547,0.00,0.00,0.024,0.025
548,0.00,0.00,0.025,0.025
549,0.00,0.00,0.019,0.041
550,0.00,0.00,0.010,0.039
551,0.00,0.00,-0.004,0.031
552,0.00,0.00,-0.002,0.038
553,0.00,0.00,0.014,0.035
554,0.00,0.00,0.019,0.029
555,0.00,0.00,0.022,0.039
556,0.00,0.00,0.019,0.018
557,0.00,0.00,0.035,0.019
558,0.00,0.00,0.036,0.035
559,0.00,0.00,0.015,0.026
560,0.00,0.00,0.016,0.026
561,0.00,0.00,0.008,0.024
562,0.00,0.00,0.015,0.014
563,0.00,0.00,0.025,0.035
564,0.00,0.00,0.032,0.041
565,0.00,0.00,0.013,0.041
566,0.00,0.00,0.029,0.035
567,0.00,0.00,0.011,0.041
568,0.00,0.00,0.019,0.021
569,0.00,0.00,-0.001,0.047
570,0.00,0.00,0.036,0.040
571,0.00,0.00,0.026,0.048
572,0.00,0.00,0.026,0.025
573,0.00,0.00,0.019,0.037
574,0.00,0.00,0.013,0.029
575,0.00,0.00,0.019,0.029
576,0.00,0.00,0.002,0.031
577,0.00,0.00,0.016,0.011
578,0.00,0.00,0.002,0.015
579,0.00,0.00,0.030,0.015
580,0.00,0.00,-0.003,0.044
581,0.00,0.00,0.019,0.009
582,0.00,0.00,0.012,0.031
583,0.00,0.00,0.013,0.037
584,0.00,0.00,0.028,0.035
585,0.00,0.00,0.027,0.027
586,0.00,0.00,0.010,0.045
587,0.00,0.00,0.030,0.035
588,0.00,0.00,0.015,0.031
589,0.00,0.00,-0.003,0.027
590,0.00,0.00,-0.002,0.018
591,0.00,0.00,-0.013,0.023
592,0.00,0.00,0.014,0.027
593,0.00,0.00,0.007,0.034
594,0.00,0.00,0.012,0.045
595,0.00,0.00,0.000,0.032
596,0.00,0.00,0.005,0.045
597,0.00,0.00,0.026,0.022
598,0.00,0.00,0.030,0.022
599,0.00,0.00,0.028,0.037
600,0.00,0.00,0.023,0.032
601,0.00,0.00,0.028,0.012
602,0.00,0.00,0.022,0.021
603,0.00,0.00,0.019,0.043
604,0.00,0.00,0.017,0.047
605,0.00,0.00,0.022,0.029
606,0.00,0.00,-0.004,0.032
607,0.00,0.00,0.005,0.017
608,0.00,0.00,0.012,0.030
609,0.00,0.00,0.010,0.033
610,0.00,0.00,0.036,0.025
611,0.00,0.00,0.002,0.029
612,0.00,0.00,0.013,0.012
613,0.00,0.00,0.008,0.035
614,0.00,0.00,0.005,0.019
615,0.00,0.00,0.011,0.012
616,0.00,0.00,-0.013,0.029
617,0.00,0.00,0.032,0.045
618,0.00,0.00,0.013,0.035
619,0.00,0.00,-0.004,0.047
620,0.00,0.00,0.013,0.018
621,0.00,0.00,0.001,0.029
622,0.00,0.00,0.006,0.029
623,0.00,0.00,0.005,0.041
624,0.00,0.00,0.003,0.035
625,0.00,0.00,0.018,0.042
626,0.00,0.00,0.027,0.024
627,0.00,0.00,0.002,0.012
628,0.00,0.00,0.014,0.046
629,0.00,0.00,0.004,0.039
630,0.00,0.00,0.000,0.050
631,0.00,0.00,0.009,0.034
632,0.00,0.00,0.009,0.035
633,0.00,0.00,0.043,0.038
634,0.00,0.00,0.024,0.043
635,0.00,0.00,0.010,0.026
636,0.00,0.00,0.022,0.030
637,0.00,0.00,0.005,0.030
638,0.00,0.00,0.019,0.029
639,0.00,0.05,0.021,0.035
640,0.00,0.00,0.009,0.028
641,0.00,0.00,0.030,0.035
642,0.00,0.00,0.013,0.042
643,0.00,0.00,0.000,0.044
644,0.00,12.29,0.007,0.046
645,0.00,12.34,0.022,0.062
646,0.00,12.29,0.030,0.030
647,0.00,12.24,0.014,0.038
648,0.00,12.27,0.025,0.058
649,0.00,12.27,0.019,0.051
650,0.00,12.29,0.025,0.038
651,0.00,12.27,0.016,0.035
652,0.00,12.27,0.013,0.046
653,0.00,12.29,0.010,0.038
654,0.00,12.27,0.008,0.049
655,0.00,12.27,0.017,0.043
656,0.00,12.29,0.007,0.031
657,0.00,12.27,0.023,0.048
658,0.00,12.29,-0.001,0.026
659,0.00,12.24,0.028,0.038
660,0.00,12.29,0.031,0.050
661,0.00,12.29,0.021,0.042
662,0.00,12.29,0.027,0.049
663,0.00,12.32,0.016,0.029
664,0.00,12.27,0.033,0.021
665,0.00,12.29,0.033,0.024
666,0.00,12.29,0.045,0.052
667,0.00,12.29,0.006,0.043
668,0.00,12.32,0.019,0.046
669,0.00,12.27,0.014,0.040
670,0.00,12.27,0.027,0.034
671,0.00,12.29,0.034,0.044
672,0.00,12.29,0.025,0.042
673,0.00,12.27,0.008,0.034
674,0.00,12.24,0.016,0.028
675,0.00,12.27,0.022,0.029
676,0.00,12.29,0.030,0.026
677,0.00,12.24,0.035,0.023
678,0.00,12.27,0.003,0.023
679,0.00,12.29,0.032,0.035
680,0.00,12.29,0.005,0.039
681,0.00,12.29,0.013,0.038
682,0.00,12.29,0.017,0.027
683,0.00,12.29,0.032,0.048
684,0.00,12.29,0.010,0.027
685,0.00,12.27,0.013,0.065
686,0.00,12.29,0.027,0.026
687,0.00,12.27,0.025,0.047
688,0.00,12.27,0.035,0.039
689,0.00,12.24,0.007,0.036
690,0.00,12.29,0.012,0.045
691,0.00,12.29,0.027,0.044
692,0.00,12.29,0.018,0.037
693,0.00,12.27,0.042,0.046
694,0.00,12.29,0.033,0.049
695,0.00,12.29,-0.001,0.043
696,0.00,12.29,0.012,0.038
697,0.00,12.29,0.003,0.043
698,0.00,12.24,0.004,0.034
699,0.00,12.27,-0.001,0.018
700,0.00,12.29,0.020,0.053
701,0.00,12.32,0.002,0.041
702,0.00,12.24,0.019,0.038
703,0.00,12.24,0.009,0.041
704,0.00,12.27,0.012,0.034
705,0.00,12.29,0.031,0.051
706,0.00,12.27,0.010,0.047
707,0.00,12.29,0.028,0.036
708,0.00,12.27,0.007,0.044
709,0.00,12.29,0.007,0.021
710,0.00,12.24,0.027,0.041
711,0.00,12.24,0.019,0.035
712,0.00,12.24,0.026,0.041
713,0.00,12.24,0.026,0.046
714,0.00,12.29,0.008,0.027
715,0.00,12.29,0.011,0.043
716,0.00,12.22,0.018,0.019
717,0.00,12.32,0.025,0.044
718,0.00,12.27,0.005,0.041
719,0.00,12.27,0.021,0.031
720,0.00,12.27,0.006,0.050
721,0.00,12.24,0.021,0.033
722,0.00,12.29,0.043,0.055
723,0.00,12.24,0.039,0.036
724,0.00,12.27,0.041,0.050
725,0.00,12.32,0.019,0.044
726,0.00,12.29,0.017,0.030
727,0.00,12.27,0.028,0.067
728,0.00,12.29,0.019,0.043
729,0.00,12.29,0.039,0.060
730,0.00,12.32,0.029,0.047
731,0.00,12.32,0.030,0.032
732,0.00,12.32,0.039,0.050
733,0.00,12.27,0.015,0.043
734,0.00,12.32,0.019,0.030
735,0.00,12.27,0.039,0.048
736,0.00,12.32,0.037,0.042
737,0.00,12.29,0.032,0.037
738,0.00,12.29,0.021,0.048
739,0.00,12.27,0.032,0.024
740,0.00,12.32,0.042,0.041
741,0.00,12.34,0.013,0.047
742,0.00,12.29,0.040,0.054
743,0.00,12.29,0.021,0.047
744,0.00,12.32,0.031,0.032
745,0.00,12.32,0.036,0.061
746,0.00,12.29,0.015,0.027
747,0.00,12.27,0.034,0.032
748,0.00,12.32,0.018,0.035
749,0.00,12.29,0.026,0.017
750,0.00,12.29,0.021,0.064
751,0.00,12.29,0.030,0.032
752,0.00,12.32,0.021,0.050
753,0.00,12.29,0.039,0.062
754,0.00,12.29,0.026,0.037
755,0.00,12.32,0.040,0.047
756,0.00,12.32,0.014,0.031
757,0.00,12.29,0.028,0.032
758,0.00,12.32,0.022,0.035
759,0.00,12.32,0.010,0.047
760,0.00,12.32,0.005,0.047
761,0.00,12.29,0.005,0.064
762,0.00,12.37,0.013,0.032
763,0.00,12.29,0.033,0.062
764,0.00,12.29,0.044,0.043
765,0.00,12.27,0.025,0.035
766,0.00,12.32,0.028,0.043
767,0.00,12.27,0.033,0.043
768,0.00,12.32,0.046,0.034
